fokontany,commune,district,region,province
Andovoranto,Andovoranto,Brickaville,Atsinanana,Toamasina
Vohitrampasina,Andovoranto,Brickaville,Atsinanana,Toamasina
Besaka,Ankiliabo,Manja,Menabe,Toliara
Ankatepoky,Ankililoaka,Toliary-II,Atsimo-Andrefana,Toliara
Antanilehibe,Ankililoaka,Toliary-II,Atsimo-Andrefana,Toliara
Amboangy,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Andovolava,Andonabe Sud,Marolambo,Atsinanana,Toamasina
Antongodriha II,Andrahanjo,Sambava,Sava,Antsiranana
Andrasaha,Andrahanjo,Sambava,Sava,Antsiranana
Morarivo Centre,Miandrarivo,Tsiroanomandidy,Bongolava,Antananarivo
Andohafarihy,Miandrarivo,Tsiroanomandidy,Bongolava,Antananarivo
Antsahanitavolo,Miandrarivo,Tsiroanomandidy,Bongolava,Antananarivo
Tsaratanana,Miandrarivo,Tsiroanomandidy,Bongolava,Antananarivo
Morafeno Sud,Miandrarivo,Tsiroanomandidy,Bongolava,Antananarivo
Soamanandrariny,Miarinarivo,Ambalavao,Matsiatra Ambony,Fianarantsoa
Analakely,Miarinavaratra,Fandriana,Amoron'i Mania,Fianarantsoa
Tsarahonenana,Miarinavaratra,Fandriana,Amoron'i Mania,Fianarantsoa
Marinera,Andina,Ambositra,Amoron'i Mania,Fianarantsoa
Ambinome,Andina,Ambositra,Amoron'i Mania,Fianarantsoa
Antanantanana,Andohajango,Mandritsara,Sofia,Mahajanga
Bemanondro,Andohajango,Mandritsara,Sofia,Mahajanga
Andrangeza,Andohajango,Mandritsara,Sofia,Mahajanga
Ankazotsifantatra,Ankazotsifantatra,Mahanoro,Atsinanana,Toamasina
Ampitabe I,Ankazotsifantatra,Mahanoro,Atsinanana,Toamasina
Maroariana,Ankazotsifantatra,Mahanoro,Atsinanana,Toamasina
Tanambao I,Ankazotsifantatra,Mahanoro,Atsinanana,Toamasina
Misorobe,Ankiabe-Salohy,Mandritsara,Sofia,Mahajanga
Maromokotra,Andravory,Vohemar,Sava,Antsiranana
Andravory,Andravory,Vohemar,Sava,Antsiranana
Ambararatabe,Andravory,Vohemar,Sava,Antsiranana
Andriampamaky,Ankadinandriana,Antananarivo Avaradrano,Analamanga,Antananarivo
Miorikampoza,Ankadinandriana,Antananarivo Avaradrano,Analamanga,Antananarivo
Andongokely,Ankiakabe-Fonoko,Mandritsara,Sofia,Mahajanga
Ankevaheva,Ankiakabe-Fonoko,Mandritsara,Sofia,Mahajanga
Ambohimena,Ankiakabe-Fonoko,Mandritsara,Sofia,Mahajanga
Vohimiroro,Ankilimivory,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Marohola,Ankilimivory,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Ambatomirahavavy,Andravola Vohipeno,Ambatolampy,Vakinankaratra,Antananarivo
Andravola Vohipeno,Andravola Vohipeno,Ambatolampy,Vakinankaratra,Antananarivo
Fihaonana,Andravola Vohipeno,Ambatolampy,Vakinankaratra,Antananarivo
Ambinanibe,Andravola Vohipeno,Ambatolampy,Vakinankaratra,Antananarivo
Ambatoharanana,Andravola Vohipeno,Ambatolampy,Vakinankaratra,Antananarivo
Sarotsetay Ambany,Ankilimivory,Ampanihy Ouest,Atsimo-Andrefana,Toliara
Behoririka,3e Arrondissement,3e Arrondissement,Analamanga,Antananarivo
Behoririka Ambatomitsangana,3e Arrondissement,3e Arrondissement,Analamanga,Antananarivo
Behoririka Ankaditapaka,3e Arrondissement,3e Arrondissement,Analamanga,Antananarivo
Ankaditapaka Avaratra,3e Arrondissement,3e Arrondissement,Analamanga,Antananarivo
